,S,E,Ia,Is,R,P
0,68779.0,71202.0,35601.0,35601.0,0.0,343.895
1,66941.86457905413,66612.59127123708,34854.15341864004,37326.15466914787,5304.528443207693,5422.558494286966
2,65140.068103958874,62398.16978342125,34043.47225552406,38649.020506624714,10663.48251013775,9777.253998253318
3,63374.73399704412,58524.28224242778,33183.23786024873,39621.428634857955,16044.88573005295,13488.119160274899
4,61646.419049554344,54960.07444618312,32285.81310840889,40289.381570493315,21421.360317784318,16627.442658675936
5,59955.48771750161,51677.62240505512,31361.867806100832,40693.678147272076,26769.58509593404,19260.341949859278
6,58302.14867845398,48651.637489068584,30420.576551988575,40870.4664954835,32069.81506112798,21445.392834254122
7,56686.47670596835,45859.21030797879,29469.795894423845,40851.74248603206,37305.45088133098,23235.217584888367
8,55108.42970752618,43279.58320155356,28516.221028206055,40665.79386020874,42462.65813998507,24677.0270894177
9,53567.863700220514,40893.94391260547,27565.52611537238,40337.60069211148,47530.02649666812,25813.122999053034
10,52064.545875340635,38685.240025061605,26622.488585700292,39889.19298948571,52498.26789139142,26681.359089465084
11,50598.166243548556,36638.01119658133,25691.099677038917,39339.97126754881,57359.94831474668,27315.56484433777
12,49168.348052103574,34738.23738454641,24774.66270922155,38706.99395489777,62109.2494928147,27745.933657300237
13,47774.657063644736,32973.201909058625,23875.88007725543,38005.23417818474,66741.75808193749,27999.377368118894
14,46416.60988191156,31331.367273697644,22996.930700307006,37247.81042465772,71254.27813836951,28099.850180618327
15,45093.68136198931,29802.26316828835,22139.538402015227,36446.192339211884,75644.66569815572,28068.643422962137
16,43805.31123247637,28376.385130644136,21305.03248735723,35610.38494995921,79911.68238143329,27924.653707823487
17,42550.910002249475,27045.10290587936,20494.401308207533,34749.09340254799,84054.86608629406,27684.62640342109
18,41329.86422312063,25800.577581534726,19708.339568070754,33869.870181762526,88074.4169398527,27363.376429076867
19,40141.541172810284,24635.686659751096,18947.290043323737,32979.24661290507,91971.09685271612,26973.988277267414
20,38985.2930181731,23543.956281630097,18211.48035239152,32082.85031666096,95746.14113551068,26527.996942947062
21,37860.46050456309,22519.50000063627,17500.95524938355,31185.50989117776,99401.1810138049,26035.551273591955
22,36766.3762310253,21556.963319265145,16815.605063383427,30291.348480937817,102938.17552497312,25505.56161538769
23,35702.36755457516,20651.47341872333,16155.190727107336,29403.86742629253,106359.35171371936,24945.833181770486
24,34667.75912439257,19798.59406266194,15519.365386366046,28526.01999874581,109667.15314733877,24363.18541295988
25,33661.87513410893,18994.284516898388,14907.693512835967,27660.277678331244,112864.1944985318,23763.5599882303
26,32684.041298522734,18234.86239485035,14319.667565528318,26808.689124991644,115953.22208520088,23152.117889451936
27,31733.58657812369,17516.970115162185,13754.722429658263,25972.932477630195,118937.07980906987,22533.3264132206
28,30809.844681118422,16837.544576034954,13212.247916821518,25154.3617730827,121818.67980023292,21911.037429061522
